taxid,accession_number
2849180,GCF_019041495.1
10710,GCF_000840245.1
305,GCF_001586135.1
1280,GCF_001641045.1
511145,NOTFOUND
190485,GCF_000007145.1
267608,GCF_000009125.1
216595,GCF_000009225.2
272558,GCF_000011145.1
176279,GCF_000011925.1
205922,GCF_000012445.1
232721,NOTFOUND
398578,GCF_000018665.1
391008,GCF_000020665.1
418699,GCF_000061505.1
522373,GCF_000072485.1
688245,NOTFOUND
757424,GCF_000143225.1
742013,GCF_000214395.1
1114970,GCF_000237065.1
1144306,GCF_000281735.1
358220,GCF_000302535.1
745310,GCF_000347675.2
1265504,GCF_000381265.1
1217690,GCF_000399665.1
983594,GCF_000473485.1
348824,GCF_000577275.2
1495331,GCF_000698295.1
1333852,NOTFOUND
68895,GCF_000832305.1
80878,GCF_000935585.1
1267562,NOTFOUND
1242245,GCF_001484935.1
470,GCF_001573105.1
1125630,GCF_000240185.1
300267,GCF_000012005.1
198214,GCF_000006925.2
